"","Fox News Channel HDTV"
"","Showtime Showcase HDTV (West)"
"","HBO HDTV On Demand"
"","WHDH"
"","AMC"
"","Adult Alternative"
"","NHL/MLB 9"
"","Independent Film Channel"
"","Canal 22 HD"
"PBS","WAIQ"
"","VELOCITY"
"","Telemundo"
"","ENCR WEST"
"PBS","WNIT HDTV"
"ANTEN","WILX Antenna TV"
"MNT","Rockford's My Network TV HDTV"
"","SMITHSONIAN HD"
"","Disnet JR."
"","ST. Genevieve Info"
"","Tomahawk HS"
"TELMUN","KKCO 3 Telemundo"
"","MTV2 (West)"
"THIS","KPIC ThisTV"
"","TW DEPORTES-DI"
"","NICKELODEON-DI"
"","BOMERANG"
"","SDV EPIX"
"","SHOSH"
"","National Geographic Channel"
"","Encore Action (East)"
"","Fusion HD"
"","Liquidation in HD"
"ABC","WZZM"
"MNT","WTVZ"
"","Boomerang "
"","THE LEARNING CH"
"","Fox Business Net"
"","RFD-SD"
"","MC-Alternative"
"","WGCL DT2 COZ1"
"","WTIC ANTENNA TV"
"","Cinemax West "
"","HBO 2 East"
"","TV5 Monde"
"","ResearchChannel"
"","PEG RING"
"ION","WCPX ION HDTV"
"IND","KSTC HDTV"
"","SASD-TV"
"FOX","WGMB"
"","THE HUB HD"
"","SUPER CANAL HD"
"","STARZ HD-W"
"","MDU-WHNT"
"IND","WAAY WeatherNation"
"","Charter MainStreet - Clarksville"
"DECAD","WKOW Decades"
"","Montana Government & Public Affairs"
"","FOX SPORTS 2-DI"
"","More Music on Demand"
"","UCTV-DIENCP"
"","SDV CINE MEXICANO"
"","PRIMETIME FREE ST-RT"
"UNIMAS","KDJT UniMás 33"
"","Music Choice Light Classical"
"","Music Choice Singers & Swing"
"","Turner Classic Movies HDTV"
"","Atreseries HDTV"
"","Ultra Clásico HDTV"
"","HBO Family"
"","Rap"
"","Music & Specials"
"","Gov Acc 2"
"","TV Land"
"","MDU-UNIVISION"
"","DISN-HD"
"","IDHD"
"","STARZ WEST"
"","VIDEO ROLA"
"","WPTZ"
"PBS","WHA Create"
"CBS","KELO"
"","KXAS"
"","SHOWTIME BEYOND HD"
"","ENCORE DRAMA"
"","LMNHD"
"CBS","WIAT"
"","Big Ten Network (Nebraska)"
"","WCOV HD"
"PBS","WHRM"
"","Root Sports Northwest (Boise Mariners No Surcharge Games)"
"ABC","KDRV HDTV"
"","KCET-DIENCP"
"","Movies on Demand"
"","SDV-COOKING CH HD"
"FOX","KBVU"
"","Encore Suspense W"
"","HD-SET Asia"
"","CSNBA HD"
"","TV Japan"
"","Gov Acc 3"
"","UFC"
"MNT","WHTV"
"","Ultra Clasico HDTV"
"","Cine Mexico "
"MNT","WMYT HDTV"
"","MC-Hit List"
"","MC-Classic Rock"
"","Outdoor HD"
"","SNY zone 2"
"","Golf HD"
"FOX","WZDX"
"","Fox Sports Midwest Plus (Kansas City) HDTV"
"","SCIENCE HD"
"","SUNDANCE (DIGITAL)"
"","Shopping"
"","Sturgeon Bay Tourism"
"","La Crosse School Dist"
"PBS","KFME World"
"","Root Sports Rocky Mountain 24/7 HDTV"
"","DIY HD-DI"
"","SDV-SHANT"
"","CBY"
"PBS","KNPB"
"","E!HD"
"","TV 5 Monde-SD"
"","KSTV AZTECA-SD"
"","Cinemax HDTV (West)"
"","TeleFórmula HDTV"
"","Fuse (East)"
"","Government Access"
"","Fox Deportes en Espanol (U.S.)"
"","Gov Acc 4"
"","SUNDANCE TV"
"","USA"
"","TLC HD"
"","OUTDOOR CH HD"
"PBS","WHRO"
"","MEXICO 22"
"","LOCAL"
"","Action Sport Networks"
"","MLB/NHL 10"
"","EDUCATIONAL ACCESS"
"","More Max"
"","SHO Movies"
"","WHTX "
"NBC","WITN HDTV"
"IND","KFOL"
"","CINE LATINO - DIGITAL"
"PBS","WHLA"
"","KXLA-DT"
"","AABC"
"","TW SPORTS NET-DI"
"","TBN-Digital"
"","EDUC-DIENCP"
"","EPIX HD O D ST-RT"
"","MC1"
"","Semillitas-SD"
"","HD-MULTIMEDIOS"
"","HD-Tivi 5 Monde"
"CW","WKBD"
"","Encore Suspense (East)"
"","BET Soul"
"","Gov Acc 5"
"","FYI "
"","CMT HD"
"","All Digital Notification"
"","MC Music Choice "
"MNT","WMGTDT2"
"JN","WCNC Justice Network"
"","NATGEO HD"
"","DISN XD"
"","FMC"
"","TC Xtra"
"","Jewelry HD"
"","MLB/NHL 11"
"","CSPAN Campaign 2012"
"","Charter Main Street - Kalamazoo (24)"
"ANTEN","WLOS Antenna"
"ION","WCPX ION"
"TELMUN","WYTU"
"ABC","WQOW HDTV"
"","ENCORE WESTERN"
"","THE LEARNING CHANNEL HD"
"","HD - KTVT-DT (CBS)(Dallas/Fort Worth)"
"","MC POP LATINO"
"","MDU-WTJP"
"","WCBI-CBS"
"PBS","WLJT"
"TELMUN","WMLW Telemundo 49"
"CBS","WAKA"
"IND","WBMM Radar"
"DAYSTAR,WALK","WFRZ"
"UNI","KVSN HDTV Univision 48"
"","National Geographic Channel (West)"
"","HBO Latino (West)"
"","KCBS 2-HDENCP"
"","SDV SHOWTIME2 WEST"
"","MC2"
"","CNN EN ESPANOL"
"","Channel One Russia"
"","De Pel�cula EUA (delayed)"
"","HD - KOVR CBS TUR"
"","HBO Zone HDTV (West)"
"","HBO Family HDTV (West)"
"","Great American Country HDTV"
"","Universal HDTV"
"","TeleFórmula"
"","Classic Rock"
"","Movie Max E HD"
"","Eternal World Television Network HDTV"
"","National Geographic"
"","UniMas (East)"
"","iN DEMAND 7-MOVIES"
"","NFL RED ZONE HD"
"","WABC"
"","MLB/NHL 12"
"NBC","WPSD"
"PBS","WTTW"
"","MC ALTERNATIVE"
"UNIMAS","KSTR HDTV UniM�s 49"
"","Li My Gov"
"","Charter Comm. Classifieds"
"PBS","NPT2"
"","Mt Horeb Village"
"FOX","WGEM FOX SDTV"
"IND","KULR SWX Billings"
"","MC3"
"","SDV-CENTRO AMERICA"
"","Charter Information Network"
"","Tele El Salvador-SD"
"","HD-Encore Black E"
"","SEC HD"
"","HD - KGPE CBS LIV"
"","Investigation Discovery HDTV"
"","Pivot HDTV"
"","Multimedios HDTV"
"","Music Choice Kidz Only"
"","Willow TV HD"
"","Nick Toons"
"","SHOWTIME TOO HD"
"","DISNEY XD HD"
"","IFC TV"
"","CSPAN 3 HD"
"","ESPN Deportes "
"","BBC WORLD NEWS HD"
"","MLB/NHL 13"
"GRIT","WSFX GRIT"
"","MSU Channel HDTV"
"","Fox Sports Midwest Plus (Kansas City)"
"CW","WNOL HDTV"
"","Sold Gold Oldies"
"","ACTION MAX "
"","BIOGRAPHY CHANNEL"
"","ENCORE ESPANOL"
"","MC GOSPEL"
"BUZZR","KDFI Buzzr"
"","WIYC"
"ABC","KDUH"
"PBS","KTSC Create"
"Movie","KECI Movies!"
"","DISNEY-DI"
"","MAX LATINO EAST"
"","MC4"
"","FM-KKGO"
"","NHL ICE 1"
"","IFC (West)"
"CBS","KIMA HDTV"
"","RENO 13"
"","Klamath Falls City Government"
"","HD-KQED"
"","VH1 (East)"
"","TeenNick (East)"
"","HBO (West)"
"ION","WPXD HDTV"
"","Lifetime Television HDTV (East)"
"","VH1"
"","WMUR ABC HD"
"","Smithsonian HD"
"","TeenNick"
"","Video On Demand"
"","MC-Todays Country"
"","EL REY HD"
"","DLIFE BNNG"
"","Charter Media"
"","MLB/NHL 14"
"CBS","KRCG"
"","TVLand"
"","FOX SPORTS CENTRAL"
"","Illusion "
"","MTV Live HD"
"GRIT","WMC Grit TV"
"PBS","KET (Internal Only)"
"FOX","KADN HDTV"
"PBS","KUGF Kids"
"Movie","KCFW Movies!"
"","Local Character Generator"
"ABC","KOAT HDTV"
"","Hallmark Channel HDTV (West)"
"","KCET LINK-DIENCP"
"","SDV-OUTDOOR CHANNEL"
"","SDV HBO2 WEST"
"","SDV LOVE STORIES WEST"
"","MC5"
"","FREE MOVIES"
"","Movie Library on Demand"
"","DISC HD"
"CW","KEPR CW+ HDTV"
"","Washoe County TV"
"CW","KRCW HDTV"
"","INVESTGTION DI-SD"
"","KCRA NBC TUR-SD"
"","Showtime Women HDTV (East)"
"","GSN HDTV (EAST)"
"","Súper Canal"
"IND","TVN - Televisión Nacional de Chile"
"","Univisi�n tlnovelas"
"","Liquidation SD "
"","University"
"","Super Canal HD"
"","FYI HD"
